name	system	score	length	NonEffector.prob	T1SE.prob	T2SE.prob	T3SE.prob	T4SE.prob	T6SE.prob	assembly	replicon	protein_id	location	annotation	locus_tag	gene
CP004025.1_prot_3027	III	0.954	80	0.0066	0.0033	0.0003	0.954	0.0115	0.0242	GCA_000331735	CP004025.1	AGC44386.1	complement(3893973..3894215)	hypothetical protein	MYSTI_03070	
CP004025.1_prot_3028	III	0.9892	102	0.0014	0.0001	0.0	0.9892	0.009	0.0003	GCA_000331735	CP004025.1	AGC44387.1	3894382..3894690	hypothetical protein	MYSTI_03071	
CP004025.1_prot_3030	III	0.6024	201	0.0039	0.0005	0.0001	0.6024	0.364	0.0291	GCA_000331735	CP004025.1	AGC44389.1	complement(3896078..3896683)	hypothetical protein	MYSTI_03073	
CP004025.1_prot_3031	III	0.9453	323	0.0083	0.0002	0.0001	0.9453	0.0457	0.0004	GCA_000331735	CP004025.1	AGC44390.1	3896733..3897704	response regulator	MYSTI_03074	
CP004025.1_prot_3038	III	0.8259	170	0.136	0.002	0.0003	0.8259	0.029	0.0068	GCA_000331735	CP004025.1	AGC44397.1	3904918..3905430	chemotaxis coupling protein CheW	MYSTI_03083	
CP004025.1_prot_3039	III	0.6658	471	0.1532	0.0004	0.0004	0.6658	0.169	0.0112	GCA_000331735	CP004025.1	AGC44398.1	3905427..3906842	chemotaxis protein methyltransferase CheR	MYSTI_03084	
CP004025.1_prot_3042	III	0.839	189	0.0806	0.0011	0.0003	0.839	0.0706	0.0084	GCA_000331735	CP004025.1	AGC44401.1	3908889..3909458	chemotaxis protein CheW	MYSTI_03087	
CP004025.1_prot_3044	III	0.9917	331	0.0033	0.0001	0.0001	0.9917	0.0029	0.0019	GCA_000331735	CP004025.1	AGC44403.1	complement(3912021..3913016)	sensor histidine kinase	MYSTI_03089	
CP004025.1_prot_3048	III	0.4074	333	0.3738	0.0032	0.0323	0.4074	0.0913	0.092	GCA_000331735	CP004025.1	AGC44407.1	3918687..3919688	hypothetical protein	MYSTI_03093	
CP004025.1_prot_3049	III	0.6949	619	0.2522	0.0006	0.0003	0.6949	0.0463	0.0055	GCA_000331735	CP004025.1	AGC44408.1	complement(3919706..3921565)	GAF sensor hybrid histidine kinase	MYSTI_03094	
CP004025.1_prot_3050	III	0.5284	300	0.0355	0.0007	0.0031	0.5284	0.4283	0.004	GCA_000331735	CP004025.1	AGC44409.1	complement(3921739..3922641)	hypothetical protein	MYSTI_03095	
CP004025.1_prot_3051	III	0.5408	313	0.4412	0.0016	0.0032	0.5408	0.0116	0.0016	GCA_000331735	CP004025.1	AGC44410.1	complement(3922662..3923603)	metalloenzyme domain-containing protein	MYSTI_03096	
CP004025.1_prot_3052	III	0.8535	361	0.1051	0.0006	0.0002	0.8535	0.0326	0.0081	GCA_000331735	CP004025.1	AGC44411.1	3923629..3924714	hypothetical protein	MYSTI_03097	
CP004025.1_prot_3057	III	0.9516	507	0.0017	0.0006	0.0003	0.9516	0.0454	0.0005	GCA_000331735	CP004025.1	AGC44416.1	complement(3928386..3929909)	hypothetical protein	MYSTI_03102	
CP004025.1_prot_3070	III	0.7519	116	0.2171	0.0016	0.0005	0.7519	0.0265	0.0023	GCA_000331735	CP004025.1	AGC44429.1	3943819..3944169	putative transcriptional regulator	MYSTI_03115	
CP004025.1_prot_3075	III	0.8671	172	0.007	0.0003	0.0	0.8671	0.1249	0.0007	GCA_000331735	CP004025.1	AGC44434.1	3948675..3949193	hypothetical protein	MYSTI_03120	
CP004025.1_prot_3080	III	0.6349	152	0.0131	0.1658	0.003	0.6349	0.0299	0.1534	GCA_000331735	CP004025.1	AGC44439.1	3951087..3951545	hypothetical protein	MYSTI_03125	
CP004025.1_prot_3082	III	0.9078	293	0.0078	0.0001	0.0001	0.9078	0.0816	0.0025	GCA_000331735	CP004025.1	AGC44441.1	3952402..3953283	hypothetical protein	MYSTI_03127	
CP004025.1_prot_3098	VI	0.555	74	0.0116	0.0051	0.0004	0.396	0.0319	0.555	GCA_000331735	CP004025.1	AGC44457.1	complement(3970628..3970852)	hypothetical protein	MYSTI_03143	
CP004025.1_prot_3102	III	0.473	92	0.1002	0.0015	0.0003	0.473	0.3589	0.066	GCA_000331735	CP004025.1	AGC44461.1	3973771..3974049	hypothetical protein	MYSTI_03147	
CP004025.1_prot_3105	III	0.816	175	0.1162	0.0071	0.0024	0.816	0.0374	0.0209	GCA_000331735	CP004025.1	AGC44464.1	3975890..3976417	hypothetical protein	MYSTI_03150	
CP004025.1_prot_3111	III	0.8704	278	0.0571	0.0014	0.001	0.8704	0.0638	0.0063	GCA_000331735	CP004025.1	AGC44470.1	3984866..3985702	class II glutamine amidotransferase domain-containing protein	MYSTI_03156	
CP004025.1_prot_3112	III	0.8087	188	0.1302	0.0014	0.0003	0.8087	0.0551	0.0043	GCA_000331735	CP004025.1	AGC44471.1	3985881..3986447	ATPase	MYSTI_03157	
CP004025.1_prot_3114	III	0.6504	189	0.3156	0.0014	0.0011	0.6504	0.0272	0.0043	GCA_000331735	CP004025.1	AGC44473.1	3987142..3987711	hypothetical protein	MYSTI_03159	
CP004025.1_prot_3118	VI	0.9695	642	0.0001	0.0013	0.0	0.0276	0.0015	0.9695	GCA_000331735	CP004025.1	AGC44477.1	3994768..3996696	hypothetical protein	MYSTI_03163	
CP004025.1_prot_3119	III	0.9124	456	0.0001	0.0175	0.0003	0.9124	0.0381	0.0316	GCA_000331735	CP004025.1	AGC44478.1	3996896..3998266	hypothetical protein	MYSTI_03164	
CP004025.1_prot_3122	III	0.9074	99	0.0029	0.0001	0.0	0.9074	0.0882	0.0013	GCA_000331735	CP004025.1	AGC44481.1	complement(4002884..4003183)	hypothetical protein	MYSTI_03167	
CP004025.1_prot_3124	III	0.9361	548	0.0402	0.0005	0.0003	0.9361	0.0195	0.0033	GCA_000331735	CP004025.1	AGC44483.1	complement(4003834..4005480)	hypothetical protein	MYSTI_03169	
CP004025.1_prot_3125	VI	0.6117	200	0.0026	0.3342	0.0019	0.0488	0.0007	0.6117	GCA_000331735	CP004025.1	AGC44484.1	complement(4005494..4006096)	hypothetical protein	MYSTI_03170	
CP004025.1_prot_3126	VI	0.9969	549	0.0	0.0004	0.0	0.0025	0.0002	0.9969	GCA_000331735	CP004025.1	AGC44485.1	complement(4006124..4007773)	hypothetical protein	MYSTI_03171	
CP004025.1_prot_3128	III	0.9924	416	0.0029	0.0002	0.0002	0.9924	0.0005	0.0038	GCA_000331735	CP004025.1	AGC44487.1	complement(4008173..4009423)	hypothetical protein	MYSTI_03173	
CP004025.1_prot_3129	VI	0.6631	192	0.1517	0.152	0.0082	0.0219	0.0031	0.6631	GCA_000331735	CP004025.1	AGC44488.1	complement(4009445..4010023)	hypothetical protein	MYSTI_03174	
CP004025.1_prot_3131	III	0.3474	200	0.1595	0.0018	0.0008	0.3474	0.201	0.2894	GCA_000331735	CP004025.1	AGC44490.1	complement(4011598..4012200)	hypothetical protein	MYSTI_03176	
CP004025.1_prot_3132	III	0.9552	299	0.0158	0.001	0.0003	0.9552	0.0121	0.0156	GCA_000331735	CP004025.1	AGC44491.1	complement(4012264..4013163)	hypothetical protein	MYSTI_03177	
CP004025.1_prot_3133	III	0.5428	350	0.0325	0.0004	0.0002	0.5428	0.4093	0.0148	GCA_000331735	CP004025.1	AGC44492.1	complement(4013168..4014220)	hypothetical protein	MYSTI_03178	
CP004025.1_prot_3134	VI	0.9927	128	0.0011	0.0055	0.0002	0.0005	0.0	0.9927	GCA_000331735	CP004025.1	AGC44493.1	complement(4014213..4014599)	hypothetical protein	MYSTI_03179	
CP004025.1_prot_3135	III	0.9634	575	0.0037	0.0003	0.0001	0.9634	0.0322	0.0003	GCA_000331735	CP004025.1	AGC44494.1	complement(4014794..4016521)	AMP-dependent synthetase and ligase	MYSTI_03180	
CP004025.1_prot_3142	III	0.9908	696	0.0	0.004	0.0035	0.9908	0.0015	0.0001	GCA_000331735	CP004025.1	AGC44501.1	complement(4023485..4025575)	M4 family peptidase	MYSTI_03187	
CP004025.1_prot_3146	III	0.5905	207	0.136	0.0004	0.0015	0.5905	0.2583	0.0133	GCA_000331735	CP004025.1	AGC44505.1	complement(4027967..4028590)	hypothetical protein	MYSTI_03191	
CP004025.1_prot_3152	III	0.7925	631	0.1837	0.0013	0.0007	0.7925	0.0134	0.0083	GCA_000331735	CP004025.1	AGC44511.1	4035411..4037306	sensor histidine kinase/response regulator	MYSTI_03197	
CP004025.1_prot_3156	III	0.7275	238	0.2331	0.002	0.0008	0.7275	0.0279	0.0087	GCA_000331735	CP004025.1	AGC44515.1	complement(4040577..4041293)	DNA-binding response regulator	MYSTI_03201	
CP004025.1_prot_3158	III	0.6355	246	0.3273	0.0008	0.0013	0.6355	0.0332	0.0019	GCA_000331735	CP004025.1	AGC44517.1	4043342..4044082	hypothetical protein	MYSTI_03203	
CP004025.1_prot_3164	III	0.9598	490	0.0006	0.0069	0.0025	0.9598	0.0038	0.0264	GCA_000331735	CP004025.1	AGC44523.1	complement(4052399..4053871)	hypothetical protein	MYSTI_03210	
CP004025.1_prot_3170	III	0.9159	196	0.0488	0.0044	0.0005	0.9159	0.0195	0.0109	GCA_000331735	CP004025.1	AGC44529.1	complement(4060045..4060635)	maltose O-acetyltransferase	MYSTI_03216	
CP004025.1_prot_3171	III	0.6835	182	0.0751	0.0022	0.0004	0.6835	0.2274	0.0113	GCA_000331735	CP004025.1	AGC44530.1	complement(4060632..4061180)	acetyltransferase	MYSTI_03217	
CP004025.1_prot_3172	VI	0.4335	289	0.3018	0.0018	0.0353	0.064	0.1635	0.4335	GCA_000331735	CP004025.1	AGC44531.1	complement(4061182..4062051)	hypothetical protein	MYSTI_03218	
CP004025.1_prot_3174	III	0.6551	226	0.0683	0.0007	0.0002	0.6551	0.269	0.0067	GCA_000331735	CP004025.1	AGC44533.1	complement(4064798..4065478)	hypothetical protein	MYSTI_03220	
CP004025.1_prot_3179	III	0.8633	182	0.0167	0.0027	0.0003	0.8633	0.0237	0.0933	GCA_000331735	CP004025.1	AGC44538.1	4070225..4070773	hypothetical protein	MYSTI_03225	
CP004025.1_prot_3186	III	0.7529	379	0.2098	0.0008	0.0002	0.7529	0.0334	0.0028	GCA_000331735	CP004025.1	AGC44545.1	complement(4079419..4080558)	hypothetical protein	MYSTI_03232	
CP004025.1_prot_3187	III	0.8062	122	0.041	0.0005	0.0001	0.8062	0.1317	0.0205	GCA_000331735	CP004025.1	AGC44546.1	complement(4080701..4081069)	hypothetical protein	MYSTI_03233	
CP004025.1_prot_3191	III	0.4141	953	0.0088	0.0484	0.3432	0.4141	0.0216	0.1639	GCA_000331735	CP004025.1	AGC44550.1	4084114..4086975	putative N-acetylmuramoyl-L-alanine amidase	MYSTI_03237	
CP004025.1_prot_3197	III	0.96	75	0.021	0.0003	0.0003	0.96	0.0184	0.0001	GCA_000331735	CP004025.1	AGC44556.1	complement(4092050..4092277)	hypothetical protein	MYSTI_03244	
CP004025.1_prot_3198	III	0.514	193	0.3311	0.0003	0.0009	0.514	0.1184	0.0352	GCA_000331735	CP004025.1	AGC44557.1	complement(4092280..4092861)	hypothetical protein	MYSTI_03245	
CP004025.1_prot_3200	VI	0.9623	175	0.0117	0.0017	0.0002	0.0111	0.0131	0.9623	GCA_000331735	CP004025.1	AGC44559.1	complement(4094990..4095517)	hypothetical protein	MYSTI_03247	
CP004025.1_prot_3202	VI	0.6185	329	0.29	0.0016	0.0098	0.0323	0.0478	0.6185	GCA_000331735	CP004025.1	AGC44561.1	complement(4097524..4098513)	hypothetical protein	MYSTI_03249	
CP004025.1_prot_3203	III	0.7303	617	0.0174	0.0003	0.0002	0.7303	0.2367	0.0151	GCA_000331735	CP004025.1	AGC44562.1	complement(4098649..4100502)	hypothetical protein	MYSTI_03250	
CP004025.1_prot_3208	III	0.5598	102	0.1322	0.0133	0.0009	0.5598	0.1054	0.1885	GCA_000331735	CP004025.1	AGC44567.1	4106559..4106867	hypothetical protein	MYSTI_03255	
CP004025.1_prot_3211	VI	0.5533	427	0.3244	0.0024	0.0004	0.1117	0.0078	0.5533	GCA_000331735	CP004025.1	AGC44570.1	4108924..4110207	hypothetical protein	MYSTI_03258	
CP004025.1_prot_3212	III	0.6877	230	0.2287	0.0098	0.0101	0.6877	0.0258	0.0378	GCA_000331735	CP004025.1	AGC44571.1	complement(4110224..4110916)	adenylate/guanylate cyclase	MYSTI_03259	
CP004025.1_prot_3214	III	0.8123	222	0.106	0.0023	0.0013	0.8123	0.0055	0.0725	GCA_000331735	CP004025.1	AGC44573.1	4111993..4112661	phage prohead protease	MYSTI_03261	
CP004025.1_prot_3215	III	0.7893	367	0.1057	0.0057	0.0023	0.7893	0.0412	0.0559	GCA_000331735	CP004025.1	AGC44574.1	4112658..4113761	phage major capsid protein, hk97	MYSTI_03262	
CP004025.1_prot_3216	VI	0.6308	147	0.0003	0.3129	0.0079	0.0477	0.0004	0.6308	GCA_000331735	CP004025.1	AGC44575.1	4113789..4114232	hypothetical protein	MYSTI_03263	
CP004025.1_prot_3217	VI	0.7632	219	0.0198	0.0071	0.0015	0.208	0.0003	0.7632	GCA_000331735	CP004025.1	AGC44576.1	4114236..4114895	hypothetical protein	MYSTI_03264	
CP004025.1_prot_3218	VI	0.9063	107	0.0031	0.0043	0.0006	0.0855	0.0002	0.9063	GCA_000331735	CP004025.1	AGC44577.1	4114895..4115218	hypothetical protein	MYSTI_03265	
CP004025.1_prot_3219	VI	0.8507	131	0.0064	0.0038	0.0003	0.1368	0.002	0.8507	GCA_000331735	CP004025.1	AGC44578.1	4115248..4115643	hypothetical protein	MYSTI_03266	
CP004025.1_prot_3221	VI	0.8882	137	0.0144	0.0047	0.0007	0.0869	0.0052	0.8882	GCA_000331735	CP004025.1	AGC44580.1	4116525..4116938	hypothetical protein	MYSTI_03268	
CP004025.1_prot_3222	VI	0.9938	141	0.0	0.0036	0.0002	0.0022	0.0002	0.9938	GCA_000331735	CP004025.1	AGC44581.1	4116950..4117375	hypothetical protein	MYSTI_03269	
CP004025.1_prot_3223	III	0.9244	127	0.0049	0.0016	0.0002	0.9244	0.0318	0.0371	GCA_000331735	CP004025.1	AGC44582.1	4117411..4117794	phage tail assembly chaperone	MYSTI_03270	
CP004025.1_prot_3225	III	0.4559	876	0.0078	0.0806	0.0006	0.4559	0.0096	0.4454	GCA_000331735	CP004025.1	AGC44584.1	4117992..4120622	hypothetical protein	MYSTI_03272	
CP004025.1_prot_3226	VI	0.7226	277	0.0007	0.0537	0.0032	0.2197	0.0001	0.7226	GCA_000331735	CP004025.1	AGC44585.1	4120632..4121465	hypothetical protein	MYSTI_03273	
CP004025.1_prot_3227	VI	0.9696	799	0.0005	0.0087	0.0017	0.0188	0.0007	0.9696	GCA_000331735	CP004025.1	AGC44586.1	4121468..4123867	fibronectin type III domain-containing protein	MYSTI_03274	
CP004025.1_prot_3229	III	0.6707	178	0.2973	0.0008	0.0034	0.6707	0.023	0.0048	GCA_000331735	CP004025.1	AGC44588.1	4124244..4124780	hypothetical protein	MYSTI_03276	
CP004025.1_prot_3231	III	0.994	387	0.0006	0.0002	0.0001	0.994	0.0045	0.0007	GCA_000331735	CP004025.1	AGC44590.1	4125171..4126334	serine/threonine protein kinase	MYSTI_03278	
CP004025.1_prot_3232	III	0.7515	119	0.1688	0.0008	0.0004	0.7515	0.0735	0.005	GCA_000331735	CP004025.1	AGC44591.1	complement(4126331..4126690)	DNA-binding protein	MYSTI_03279	
CP004025.1_prot_3235	VI	0.979	524	0.0021	0.0006	0.0005	0.0063	0.0115	0.979	GCA_000331735	CP004025.1	AGC44594.1	4129857..4131431	hypothetical protein	MYSTI_03282	
CP004025.1_prot_3272	III	0.6879	259	0.2249	0.0103	0.0233	0.6879	0.0205	0.0331	GCA_000331735	CP004025.1	AGC44631.1	complement(4167422..4168201)	hypothetical protein	MYSTI_03319	
CP004025.1_prot_3275	III	0.623	305	0.3256	0.003	0.0007	0.623	0.0122	0.0355	GCA_000331735	CP004025.1	AGC44634.1	complement(4169258..4170175)	LysR family transcriptional regulator	MYSTI_03322	
CP004025.1_prot_3280	III	0.4024	284	0.303	0.0104	0.0073	0.4024	0.0383	0.2386	GCA_000331735	CP004025.1	AGC44639.1	4176335..4177189	hypothetical protein	MYSTI_03327	
CP004025.1_prot_3281	III	0.6883	253	0.2108	0.0019	0.0043	0.6883	0.0459	0.0487	GCA_000331735	CP004025.1	AGC44640.1	4177213..4177974	hypothetical protein	MYSTI_03328	
CP004025.1_prot_3282	III	0.848	626	0.0047	0.0002	0.0002	0.848	0.142	0.0049	GCA_000331735	CP004025.1	AGC44641.1	4177979..4179859	serine/threonine protein kinase	MYSTI_03329	
CP004025.1_prot_3291	III	0.4864	315	0.1071	0.017	0.0034	0.4864	0.008	0.3781	GCA_000331735	CP004025.1	AGC44650.1	4192221..4193168	hypothetical protein	MYSTI_03338	
CP004025.1_prot_3295	III	0.9637	107	0.0038	0.0001	0.0	0.9637	0.0299	0.0025	GCA_000331735	CP004025.1	AGC44654.1	complement(4197633..4197956)	hypothetical protein	MYSTI_03342	
CP004025.1_prot_3301	III	0.5336	382	0.4593	0.0014	0.0014	0.5336	0.0014	0.0029	GCA_000331735	CP004025.1	AGC44660.1	complement(4208201..4209349)	phenylalanyl-tRNA synthetase subunit alpha	MYSTI_03348	
CP004025.1_prot_3305	III	0.9832	752	0.0025	0.0003	0.0001	0.9832	0.0042	0.0096	GCA_000331735	CP004025.1	AGC44664.1	4212890..4215148	hypothetical protein	MYSTI_03352	
CP004025.1_prot_3309	III	0.723	269	0.2483	0.002	0.0023	0.723	0.0213	0.0032	GCA_000331735	CP004025.1	AGC44668.1	4218284..4219093	hypothetical protein	MYSTI_03356	
CP004025.1_prot_3310	III	0.8147	438	0.1734	0.0016	0.0027	0.8147	0.0032	0.0044	GCA_000331735	CP004025.1	AGC44669.1	4219090..4220406	coproporphyrinogen III oxidase	MYSTI_03357	
CP004025.1_prot_3315	III	0.901	408	0.0529	0.0025	0.002	0.901	0.0232	0.0184	GCA_000331735	CP004025.1	AGC44674.1	complement(4226103..4227329)	hypothetical protein	MYSTI_03362	
CP004025.1_prot_3317	VI	0.4333	453	0.2913	0.0234	0.0025	0.0508	0.1987	0.4333	GCA_000331735	CP004025.1	AGC44676.1	complement(4228410..4229771)	WGR domain-containing protein	MYSTI_03364	
CP004025.1_prot_3318	III	0.9982	498	0.0	0.0	0.0	0.9982	0.0011	0.0007	GCA_000331735	CP004025.1	AGC44677.1	complement(4229817..4231313)	hypothetical protein	MYSTI_03365	
CP004025.1_prot_3321	III	0.9056	1093	0.0003	0.0001	0.0	0.9056	0.0877	0.0063	GCA_000331735	CP004025.1	AGC44680.1	complement(4233719..4237000)	hypothetical protein	MYSTI_03368	
CP004025.1_prot_3322	III	0.8623	88	0.0128	0.0045	0.0005	0.8623	0.1089	0.0109	GCA_000331735	CP004025.1	AGC44681.1	complement(4237000..4237266)	hypothetical protein	MYSTI_03369	
CP004025.1_prot_3323	III	0.4119	705	0.3901	0.0013	0.0005	0.4119	0.1645	0.0318	GCA_000331735	CP004025.1	AGC44682.1	complement(4237259..4239376)	ATP-dependent metalloprotease FtsH	MYSTI_03370	
CP004025.1_prot_3324	III	0.9797	188	0.0001	0.0012	0.0001	0.9797	0.0071	0.0118	GCA_000331735	CP004025.1	AGC44683.1	complement(4239373..4239939)	hypothetical protein	MYSTI_03371	
CP004025.1_prot_3325	III	0.9907	361	0.0021	0.0001	0.0	0.9907	0.0062	0.0009	GCA_000331735	CP004025.1	AGC44684.1	complement(4239936..4241021)	hypothetical protein	MYSTI_03372	
CP004025.1_prot_3327	III	0.8243	596	0.1171	0.0012	0.0005	0.8243	0.0508	0.0061	GCA_000331735	CP004025.1	AGC44686.1	4241743..4243533	Fis family transcriptional regulator	MYSTI_03374	
CP004025.1_prot_3333	VI	0.457	984	0.0892	0.0646	0.062	0.1288	0.1984	0.457	GCA_000331735	CP004025.1	AGC44692.1	4250551..4253505	putative lipoprotein	MYSTI_03380	
CP004025.1_prot_3334	III	0.9764	130	0.0021	0.0001	0.0	0.9764	0.0205	0.0008	GCA_000331735	CP004025.1	AGC44693.1	4253640..4254032	hypothetical protein	MYSTI_03381	
CP004025.1_prot_3354	III	0.9105	490	0.0167	0.0022	0.0009	0.9105	0.061	0.0088	GCA_000331735	CP004025.1	AGC44713.1	complement(4287815..4289287)	hypothetical protein	MYSTI_03401	
CP004025.1_prot_3357	III	0.5489	574	0.2	0.0025	0.0009	0.5489	0.1759	0.0718	GCA_000331735	CP004025.1	AGC44716.1	4291245..4292969	hypothetical protein	MYSTI_03404	
CP004025.1_prot_3374	III	0.923	334	0.0388	0.0011	0.0003	0.923	0.0333	0.0035	GCA_000331735	CP004025.1	AGC44733.1	complement(4307679..4308683)	sensor histidine kinase	MYSTI_03421	
CP004025.1_prot_3378	III	0.4574	386	0.3581	0.0002	0.0032	0.4574	0.1715	0.0096	GCA_000331735	CP004025.1	AGC44737.1	complement(4310973..4312133)	hypothetical protein	MYSTI_03425	
CP004025.1_prot_3385	III	0.6701	138	0.2285	0.0001	0.0001	0.6701	0.1007	0.0006	GCA_000331735	CP004025.1	AGC44744.1	complement(4319343..4319759)	hypothetical protein	MYSTI_03432	
CP004025.1_prot_3393	III	0.5651	337	0.1615	0.0022	0.0012	0.5651	0.2456	0.0243	GCA_000331735	CP004025.1	AGC44752.1	4332520..4333533	serine/threonine protein kinase	MYSTI_03440	
CP004025.1_prot_3394	III	0.663	60	0.042	0.008	0.001	0.663	0.0399	0.2462	GCA_000331735	CP004025.1	AGC44753.1	4333651..4333833	hypothetical protein	MYSTI_03441	
CP004025.1_prot_3404	III	0.6807	1451	0.0286	0.0038	0.0003	0.6807	0.2826	0.004	GCA_000331735	CP004025.1	AGC44763.1	complement(4344430..4348785)	adventurous gliding motility protein AglZ	MYSTI_03451	
CP004025.1_prot_3410	III	0.8198	253	0.1571	0.0056	0.0028	0.8198	0.0066	0.0081	GCA_000331735	CP004025.1	AGC44769.1	4361251..4362012	hypothetical protein	MYSTI_03457	
CP004025.1_prot_3422	VI	0.4954	753	0.2246	0.0035	0.0012	0.2011	0.0742	0.4954	GCA_000331735	CP004025.1	AGC44781.1	4374281..4376542	hypothetical protein	MYSTI_03469	
CP004025.1_prot_3427	III	0.71	445	0.1247	0.0019	0.0006	0.71	0.1377	0.0252	GCA_000331735	CP004025.1	AGC44786.1	4380947..4382284	DnaJ domain-containing protein	MYSTI_03474	
CP004025.1_prot_3429	III	0.4529	269	0.2668	0.0032	0.0006	0.4529	0.2646	0.0119	GCA_000331735	CP004025.1	AGC44788.1	4384144..4384953	hypothetical protein	MYSTI_03476	
CP004025.1_prot_3445	III	0.518	273	0.0625	0.0024	0.0005	0.518	0.3596	0.0571	GCA_000331735	CP004025.1	AGC44804.1	complement(4398487..4399308)	DnaJ domain-containing protein	MYSTI_03492	
CP004025.1_prot_3449	III	0.9603	411	0.0074	0.0108	0.002	0.9603	0.0048	0.0147	GCA_000331735	CP004025.1	AGC44808.1	complement(4402561..4403796)	OmpA family protein	MYSTI_03496	
CP004025.1_prot_3453	III	0.8965	140	0.0505	0.0005	0.0002	0.8965	0.0513	0.0011	GCA_000331735	CP004025.1	AGC44812.1	complement(4407729..4408151)	hypothetical protein	MYSTI_03500	
CP004025.1_prot_3460	III	0.7514	601	0.0549	0.0055	0.0341	0.7514	0.0351	0.119	GCA_000331735	CP004025.1	AGC44819.1	complement(4416035..4417840)	putative lipoprotein	MYSTI_03507	
CP004025.1_prot_3466	III	0.9998	262	0.0	0.0	0.0	0.9998	0.0002	0.0	GCA_000331735	CP004025.1	AGC44825.1	complement(4423122..4423910)	hypothetical protein	MYSTI_03514	
CP004025.1_prot_3490	III	0.7386	249	0.2161	0.0004	0.0003	0.7386	0.0429	0.0017	GCA_000331735	CP004025.1	AGC44849.1	4451841..4452590	transglycosylase SLT domain-containing protein	MYSTI_03543	
CP004025.1_prot_3498	III	0.6553	623	0.2896	0.0032	0.0018	0.6553	0.0477	0.0023	GCA_000331735	CP004025.1	AGC44857.1	4458513..4460384	OPT family oligopeptide transporter	MYSTI_03551	
CP004025.1_prot_3499	III	0.9728	1253	0.0034	0.0003	0.0002	0.9728	0.0196	0.0038	GCA_000331735	CP004025.1	AGC44858.1	4460517..4464278	serine/threonine protein kinase	MYSTI_03552	
CP004025.1_prot_3501	III	0.969	460	0.0046	0.0012	0.0003	0.969	0.0164	0.0085	GCA_000331735	CP004025.1	AGC44860.1	4465939..4467321	serine/threonine protein kinase	MYSTI_03554	
CP004025.1_prot_3508	VI	0.9884	410	0.0026	0.0016	0.0013	0.0051	0.001	0.9884	GCA_000331735	CP004025.1	AGC44867.1	4477073..4478305	hypothetical protein	MYSTI_03561	
CP004025.1_prot_3509	III	0.8914	130	0.042	0.0004	0.0002	0.8914	0.0641	0.0019	GCA_000331735	CP004025.1	AGC44868.1	4478302..4478694	hypothetical protein	MYSTI_03562	
CP004025.1_prot_3522	III	0.935	285	0.0073	0.0002	0.0001	0.935	0.0557	0.0017	GCA_000331735	CP004025.1	AGC44881.1	4499487..4500344	FHA domain-containing protein	MYSTI_03575	
CP004025.1_prot_3528	III	0.4827	180	0.0528	0.0002	0.0	0.4827	0.4595	0.0048	GCA_000331735	CP004025.1	AGC44887.1	complement(4509726..4510268)	hypothetical protein	MYSTI_03581	
CP004025.1_prot_3532	III	0.629	180	0.098	0.0003	0.0017	0.629	0.2667	0.0044	GCA_000331735	CP004025.1	AGC44891.1	complement(4512621..4513163)	hypothetical protein	MYSTI_03585	
CP004025.1_prot_3533	III	0.4619	169	0.3833	0.0015	0.0003	0.4619	0.1244	0.0285	GCA_000331735	CP004025.1	AGC44892.1	4513295..4513804	DnaJ domain-containing protein	MYSTI_03586	
CP004025.1_prot_3547	III	0.6494	357	0.283	0.0035	0.0017	0.6494	0.0105	0.0519	GCA_000331735	CP004025.1	AGC44906.1	complement(4580848..4581921)	4-hydroxyphenylpyruvate dioxygenase	MYSTI_03600	
CP004025.1_prot_3550	III	0.9889	248	0.0007	0.0	0.0	0.9889	0.0102	0.0002	GCA_000331735	CP004025.1	AGC44909.1	complement(4584879..4585625)	hypothetical protein	MYSTI_03603	
CP004025.1_prot_3556	III	0.876	497	0.0382	0.0016	0.0103	0.876	0.0724	0.0015	GCA_000331735	CP004025.1	AGC44915.1	complement(4592867..4594360)	putative D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	MYSTI_03609	
CP004025.1_prot_3557	III	0.7271	445	0.0884	0.0007	0.0002	0.7271	0.1397	0.0439	GCA_000331735	CP004025.1	AGC44916.1	complement(4594394..4595731)	hypothetical protein	MYSTI_03610	
CP004025.1_prot_3561	VI	0.5915	229	0.1258	0.0017	0.0001	0.0165	0.2645	0.5915	GCA_000331735	CP004025.1	AGC44920.1	4599627..4600316	hypothetical protein	MYSTI_03614	
CP004025.1_prot_3562	III	0.9717	288	0.0082	0.0002	0.0001	0.9717	0.0185	0.0013	GCA_000331735	CP004025.1	AGC44921.1	complement(4600359..4601225)	hypothetical protein	MYSTI_03615	
CP004025.1_prot_3565	VI	0.8776	129	0.0087	0.0798	0.0006	0.0071	0.0262	0.8776	GCA_000331735	CP004025.1	AGC44924.1	complement(4602054..4602443)	hypothetical protein	MYSTI_03618	
CP004025.1_prot_3566	III	0.7499	335	0.2037	0.0025	0.0023	0.7499	0.0223	0.0192	GCA_000331735	CP004025.1	AGC44925.1	4602614..4603621	JmjC domain-containing protein	MYSTI_03619	
CP004025.1_prot_3567	III	0.7495	351	0.2155	0.0005	0.0013	0.7495	0.031	0.0023	GCA_000331735	CP004025.1	AGC44926.1	4603865..4604920	JmjC domain-containing protein	MYSTI_03620	
